intensity1	intensity2	intensity3	intensity4
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.2
2.4	2.4	2.8	3.6
2.4	2.4	2.4	3.6
2.4	2.4	2.4	3.6
2.4	2.4	2.4	3.6
2.4	2.4	2.4	3.6
2.4	2.4	2.4	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.4	3.6
2.8	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	3.6
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4.8
2.4	2.4	2.8	4.8
2.4	2.4	2.8	4.4
2.4	2.4	2.8	4
2.8	2.8	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4.4
2.8	2.4	2.8	4.4
2.8	2.4	2.8	4.8
2.8	2.4	2.8	4.8
2.8	2.4	2.8	4.8
2.8	2.4	2.8	4.4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.8	2.8	4
2.8	2.8	2.8	4
2.8	3.2	2.8	4.4
2.8	3.2	2.8	4.4
2.8	3.2	2.8	5.2
2.8	3.2	2.8	5.2
3.2	3.2	2.8	5.2
3.2	3.2	2.8	4.8
3.2	2.8	2.8	4.4
3.2	2.8	2.8	4
3.2	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	2.8	4
2.8	2.8	3.2	4
2.8	2.8	3.2	4
2.8	2.8	3.6	4
2.8	2.8	4	4
2.8	3.2	4	4.4
2.8	3.6	3.6	4.8
2.8	4	3.2	5.2
2.8	4	2.8	5.6
3.2	3.6	2.8	5.6
3.6	3.2	2.8	5.2
3.6	2.8	2.8	4.8
3.6	2.8	2.8	4.4
3.2	2.8	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	2.8	4
2.8	2.4	3.2	4
