intensity1	intensity2
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.4	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
20.8	22.4
21.2	22.4
21.2	22.4
21.6	22.8
21.6	22.8
21.6	22.8
21.2	22.8
21.2	22.8
21.2	22.8
21.2	23.2
21.2	23.2
20.8	23.2
20.8	23.2
20.8	22.8
20.8	22.8
21.2	22.8
21.2	22.8
21.6	22.8
21.6	22.8
22	22.8
21.6	22.8
21.6	23.2
21.2	23.2
21.2	23.6
21.2	23.6
21.2	23.6
21.2	23.2
21.2	23.2
21.2	23.2
21.6	23.2
22	23.2
22.4	22.8
22.4	22.4
22.8	22.8
22.8	22.8
22.4	23.2
22	23.6
22	24
21.6	24.4
21.6	24
21.2	24
21.2	23.6
21.2	23.2
21.2	23.2
21.2	22.8
22	22.8
22.8	22.8
23.2	22.8
23.2	22.8
23.2	22.8
22.8	23.2
22.4	24
22	24.8
21.6	25.2
21.2	25.2
21.2	24.4
21.2	24
21.2	23.6
21.2	23.2
21.6	23.2
22	23.2
22.8	23.2
23.6	23.2
24	23.2
23.6	23.2
23.2	23.6
22.8	24
22	26
21.6	26
21.6	25.6
21.2	24.8
21.2	24.4
21.2	24
21.6	23.6
21.6	23.2
22	23.2
22.8	23.2
23.6	23.2
24.4	23.2
24.4	23.2
24	23.2
23.2	24
22.8	24.8
22.4	25.6
22	26
22	25.6
22	25.2
22	24.4
22	24
22	23.6
22	23.2
22.4	23.2
23.2	23.2
24	23.2
24.8	23.2
24.4	23.2
24	23.6
23.6	24.8
22.8	25.6
22.4	26.4
22	26.4
22	26
22	25.2
22	24.8
22	24
22.4	23.6
22.4	23.6
23.2	23.6
24	23.6
24.8	23.6
25.2	23.6
25.2	23.6
24.8	24.4
24	25.2
23.2	26
22.8	26.8
22.4	26.4
22.4	26
22.4	25.6
22.4	25.2
22.4	24.4
22.8	24
23.2	24
23.6	24
24.4	24
25.6	24
26	24.4
26.4	24.8
25.6	25.2
24.8	26
24	26.8
23.2	28
22.8	28.4
22.8	28
22.8	27.2
22.8	26.4
23.2	26
23.6	25.2
24.4	24.8
25.2	24.8
26	24.8
26.8	24.8
27.2	25.2
27.2	25.6
26.8	26
26.4	26.8
25.2	27.6
24.4	28.4
23.6	28.8
23.2	29.2
22.8	28.8
23.2	28
23.6	26.8
24	26
24.8	25.6
26	25.2
26.8	25.2
27.6	25.2
28	25.6
28.4	26.4
28.4	27.6
28.4	28.4
27.6	29.2
26.4	29.6
25.2	30
24.4	30.4
23.6	30.4
23.2	30
23.2	28.8
23.6	27.6
24.4	26.4
26	26
27.6	25.6
29.2	25.6
29.6	25.6
29.6	26
29.6	27.2
29.6	28.8
29.6	30.4
28.8	31.2
27.2	31.2
26	31.2
25.2	31.2
24.4	31.6
24	31.2
24	30
24	28.8
24.4	27.6
25.6	26.8
28	26
30	25.6
30.8	25.6
30.8	26
30.4	26.4
30.4	28.4
30.4	32.4
30	32.8
28.8	32.8
27.6	32.4
26.4	32
25.2	32
24.4	32
24	31.2
24	30
24	28.4
24.8	27.2
26.4	26.4
29.2	26
32	25.6
32.8	25.6
32	26
31.2	27.2
30.8	30
31.2	33.2
30.8	34.4
30	34
28.4	33.2
27.2	32.8
26	32.8
24.8	32.8
24.4	32
24	30.8
24	29.2
24.8	28
26.4	26.8
29.6	26.4
32.8	26
34	26
33.6	26.4
32.8	27.6
32.4	30
32.4	33.2
32	35.6
31.2	35.6
