intensitywo	intensity00	intensity030	intensity060	intensity090	intensity300	intensity3030	intensity3060	intensity3090	intensity600	intensity6030	intensity6060	intensity6090	intensity900	intensity9030	intensity9060	intensity9090
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
2.4	2.4	2.4	2.4	2	2	2	2	2	2	2	2	2	2	2	2	2
