intensity0	intensity5	intensity6	intensity7
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.2	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
4	4	4	4
4	4	4	4
4	4	4	4
4	4	4	4
4	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4.4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4	4
3.6	4	4.4	4
3.6	4	4.4	4
3.6	4	4.4	4
3.6	4	4.4	4
4	4.4	4.4	4
4	4.4	4.4	4
4	4.4	4.4	4
4	4.4	4.4	4
4	4.4	4.4	4
4	4	4.4	4
4	4	4.4	4
4	4	4	4
